time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-10-13T18:38:32.851Z,58.8958,-152.391,30.6,3,ml,,,,0.62,ak,ak019d5an9v1,2019-10-13T18:54:47.330Z,"96km SSW of Homer, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-10-13T15:48:38.890Z,35.604332,-117.4113312,3.23,3.08,ml,64,26,0.04511,0.15,ci,ci39129768,2019-10-13T15:59:50.990Z,"18km S of Trona, CA",earthquake,0.18,0.51,0.25,22,automatic,ci,ci
2019-10-13T14:29:41.230Z,19.1908,-67.1766,35,3.14,md,11,234,0.8612,0.49,pr,pr2019286015,2019-10-13T17:38:09.858Z,"77km N of San Antonio, Puerto Rico",earthquake,3.13,18.56,0.29,7,reviewed,pr,pr
2019-10-13T13:51:33.870Z,18.248,-68.5295,137,2.95,md,20,180,1.0591,0.59,pr,pr2019286011,2019-10-13T14:30:06.660Z,"16km SSE of Boca de Yuma, Dominican Republic",earthquake,3.43,1.8,0.38,15,reviewed,pr,pr
2019-10-13T12:36:26.662Z,52.3157,-170.2197,35,4,mb,,191,0.545,1.53,us,us70005tvl,2019-10-13T13:09:49.040Z,"47km SE of Yunaska Island, Alaska",earthquake,9,2,0.073,51,reviewed,us,us
2019-10-13T12:35:56.060Z,18.9961,-67.1141,47,2.78,md,14,214,0.7123,0.56,pr,pr2019286014,2019-10-13T17:35:47.930Z,"55km N of Isabela, Puerto Rico",earthquake,3.25,9.09,0.3,13,reviewed,pr,pr
2019-10-13T12:21:07.964Z,-44.8783,35.0514,10,5.1,mb,,59,11.869,0.92,us,us70005tvg,2019-10-13T12:43:37.040Z,"Prince Edward Islands region",earthquake,10,1.9,0.086,44,reviewed,us,us
2019-10-13T12:11:57.569Z,52.2924,-169.9256,35,4.1,mb,,191,0.532,1.28,us,us70005tvd,2019-10-13T12:48:17.040Z,"64km SE of Yunaska Island, Alaska",earthquake,7.9,2,0.051,105,reviewed,us,us
2019-10-13T10:10:28.256Z,68.9976,-146.4508,0,2.8,ml,,,,1.01,ak,ak019d55pslj,2019-10-13T11:34:37.040Z,"100km NNW of Arctic Village, Alaska",earthquake,,1.2,,,automatic,ak,ak
2019-10-13T09:58:42.447Z,44.5548,148.754,81.93,5,mb,,102,4.441,0.5,us,us70005tux,2019-10-13T10:17:28.040Z,"102km SE of Kuril'sk, Russia",earthquake,3.3,7.6,0.083,46,reviewed,us,us
2019-10-13T09:26:31.683Z,31.0716,-103.3086,2.05,2.7,ml,,50,0.152,0.33,us,us70005tuu,2019-10-13T09:37:25.040Z,"42km SSE of Pecos, Texas",earthquake,1.7,6.4,0.091,46,reviewed,us,us
2019-10-13T08:24:41.092Z,59.0453,-151.8075,31.2,2.6,ml,,,,0.59,ak,ak019d54lyfz,2019-10-13T08:54:38.040Z,"68km SSW of Homer, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-10-13T07:48:26.460Z,19.0048,-67.0738,113,3.13,md,10,225,0.7317,0.46,pr,pr2019286010,2019-10-13T13:12:17.800Z,"56km N of Isabela, Puerto Rico",earthquake,4.35,4.43,0.32,10,reviewed,pr,pr
2019-10-13T07:24:40.960Z,69.6461,-144.2298,0,2.7,ml,,,,0.95,ak,ak019d540iuo,2019-10-13T07:54:24.040Z,"58km SSW of Kaktovik, Alaska",earthquake,,1,,,automatic,ak,ak
2019-10-13T07:16:40.840Z,19.0851,-67.1965,83,3.26,md,9,226,0.8609,0.48,pr,pr2019286009,2019-10-13T13:11:47.151Z,"66km N of San Antonio, Puerto Rico",earthquake,3.97,6.56,0.12,9,reviewed,pr,pr
2019-10-13T07:01:10.150Z,19.2226,-67.23,27,2.79,md,18,226,0.8744,0.54,pr,pr2019286008,2019-10-13T08:01:04.040Z,"71km N of San Antonio, Puerto Rico",earthquake,2.72,30.73,0.22,17,reviewed,pr,pr
2019-10-13T06:36:30.810Z,19.0638,-67.2983,10,2.9,md,3,335,0.9131,0.25,pr,pr2019286007,2019-10-13T07:48:56.314Z,"66km NNW of San Antonio, Puerto Rico",earthquake,12.84,18.21,0.31,3,reviewed,pr,pr
2019-10-13T06:32:14.154Z,16.4284,146.3492,35.31,5.1,mb,,49,1.298,1.08,us,us70005tty,2019-10-13T18:42:25.534Z,"73km E of Anatahan, Northern Mariana Islands",earthquake,10.8,6,0.033,300,reviewed,us,us
2019-10-13T06:09:02.441Z,-56.3715,-26.275,15.22,5.5,mb,,33,6.193,0.94,us,us70005ttv,2019-10-13T08:10:57.915Z,"67km ENE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,10.7,3.5,0.047,154,reviewed,us,us
2019-10-13T05:14:59.420Z,19.3255,-67.4483,50,3.13,md,14,305,0.9415,0.46,pr,pr2019286002,2019-10-13T13:17:31.249Z,"101km NNW of San Antonio, Puerto Rico",earthquake,3.75,12.52,0.48,14,reviewed,pr,pr
2019-10-13T04:52:57.570Z,16.2726,-97.918,34.65,4.7,mb,,165,3.268,0.94,us,us70005ttg,2019-10-13T16:14:43.559Z,"2km SE of Santa Maria Huazolotitlan, Mexico",earthquake,9.5,7.9,0.026,454,reviewed,us,us
2019-10-13T03:38:23.464Z,-20.3388,-173.3537,10,4.8,mb,,106,3.463,1.12,us,us70005tt7,2019-10-13T04:02:47.040Z,"120km ESE of Pangai, Tonga",earthquake,12.5,1.9,0.116,23,reviewed,us,us
2019-10-13T03:09:11.989Z,-25.5942,-177.3573,79,4.5,mb,,140,3.671,0.95,us,us70005tt8,2019-10-13T04:12:55.040Z,"South of the Fiji Islands",earthquake,13.5,7.1,0.094,33,reviewed,us,us
2019-10-13T02:53:15.579Z,12.8657,-89.8332,53.41,4.4,mb,,186,1.591,1.23,us,us70005tt1,2019-10-13T03:12:53.040Z,"80km S of Acajutla, El Salvador",earthquake,8.5,3.9,0.036,225,reviewed,us,us
2019-10-13T02:48:17.100Z,19.1551,-67.259,34,2.81,md,6,321,1.1584,0.4,pr,pr2019286004,2019-10-13T06:15:29.406Z,"75km NNW of San Antonio, Puerto Rico",earthquake,3.91,28.71,0.23,6,reviewed,pr,pr
2019-10-13T02:16:51.180Z,33.9653333,-116.6056667,10.19,2.46,ml,82,25,0.03727,0.16,ci,ci39128528,2019-10-13T03:02:49.710Z,"9km NW of Garnet, CA",earthquake,0.13,0.34,0.171,25,automatic,ci,ci
2019-10-13T02:12:37.840Z,35.611,-117.5896667,5.91,2.55,ml,38,35,0.02005,0.14,ci,ci39128520,2019-10-13T04:13:45.206Z,"8km E of Ridgecrest, CA",earthquake,0.16,0.46,0.178,25,automatic,ci,ci
2019-10-13T01:55:38.714Z,39.4288,-108.7339,1.35,2.7,ml,,89,0.8,0.34,us,us70005tst,2019-10-13T15:23:43.901Z,"26km NNE of Loma, Colorado",earthquake,2.2,2.4,0.041,80,reviewed,us,us
2019-10-13T01:29:05.820Z,18.8836,-67.1055,104,3.11,md,9,220,0.6418,0.57,pr,pr2019286001,2019-10-13T06:14:56.862Z,"43km NNW of Isabela, Puerto Rico",earthquake,5.3,5.33,0.16,8,reviewed,pr,pr
2019-10-13T01:02:41.683Z,37.3122,72.1942,235.47,4.5,mb,,81,0.477,0.63,us,us70005tsi,2019-10-13T01:44:55.040Z,"33km E of Roshtqal'a, Tajikistan",earthquake,8.4,6.1,0.181,9,reviewed,us,us
2019-10-13T00:48:31.120Z,32.7478333,-115.8251667,7.35,2.54,ml,36,50,0.07962,0.25,ci,ci39128352,2019-10-13T00:59:23.160Z,"16km E of Ocotillo, CA",earthquake,0.4,1.06,0.217,25,automatic,ci,ci
2019-10-13T00:41:04.990Z,19.7475,-64.4625,25,3.24,md,6,321,2.3288,0.25,pr,pr2019286000,2019-10-13T06:14:41.190Z,"148km N of Road Town, British Virgin Islands",earthquake,2.12,22.11,0.43,4,reviewed,pr,pr
2019-10-12T23:17:59.624Z,-15.7581,-69.8312,249.32,4.2,mb,,139,1.718,1.07,us,us70005ts7,2019-10-13T00:07:07.040Z,"15km W of Taquile, Peru",earthquake,10.3,8.4,0.152,12,reviewed,us,us
2019-10-12T22:12:09.120Z,19.1523,-68.049,15,3.06,md,13,329,0.9562,0.73,pr,pr2019285023,2019-10-12T22:40:05.040Z,"95km NE of Punta Cana, Dominican Republic",earthquake,4.8,31.61,0.46,8,reviewed,pr,pr
2019-10-12T21:49:29.355Z,55.222,165.2379,10,4.4,mb,,121,4.457,0.68,us,us70005trq,2019-10-12T22:15:32.040Z,"48km W of Nikol'skoye, Russia",earthquake,6.1,1.9,0.085,40,reviewed,us,us
2019-10-12T21:41:10.930Z,18.9935,-67.1803,35,3.02,md,4,331,0.7747,0.34,pr,pr2019285024,2019-10-12T23:45:51.549Z,"56km NNW of Isabela, Puerto Rico",earthquake,3.97,24.39,0.01,2,reviewed,pr,pr
2019-10-12T21:24:18.079Z,60.6098,-148.829,31.2,2.9,ml,,,,0.87,ak,ak019d3ot6yo,2019-10-12T21:36:48.040Z,"19km SSW of Whittier, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-10-12T20:57:23.450Z,19.1731,-67.2238,10,3.07,md,6,321,0.9506,0.6,pr,pr2019285022,2019-10-12T23:45:37.930Z,"76km N of San Antonio, Puerto Rico",earthquake,4.8,31.61,0.13,4,reviewed,pr,pr
2019-10-12T20:40:38.243Z,-6.7804,146.5249,10,4.9,mb,,104,2.682,0.88,us,us70005tre,2019-10-12T21:16:55.040Z,"48km NNW of Bulolo, Papua New Guinea",earthquake,7.8,1.7,0.086,43,reviewed,us,us
2019-10-12T19:21:02.380Z,19.6595,-64.8798,12,3.81,md,12,232,1.9997,0.69,pr,pr2019285021,2019-10-12T22:25:43.040Z,"117km N of Road Town, British Virgin Islands",earthquake,5.53,8.47,0.17,8,reviewed,pr,pr
